City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Clyde River,70.4692,-68.5914,overcast clouds,19.63,86,100,13.8,CA
1,Avarua,-21.2078,-159.775,broken clouds,80.65,83,75,5.75,CK
2,Saint-Pierre,-21.3393,55.4781,clear sky,73.9,49,0,4.61,RE
3,Arraial Do Cabo,-22.9661,-42.0278,clear sky,69.8,76,5,14.52,BR
4,Hamilton,39.1834,-84.5333,scattered clouds,60.24,63,40,10.36,US
5,Rikitea,-23.1203,-134.9692,broken clouds,76.15,75,62,15.95,PF
6,Tasiilaq,65.6145,-37.6368,snow,32.16,98,100,13.96,GL
7,Metu,8.3,35.5833,overcast clouds,61.45,93,99,2.3,ET
8,Cape Town,-33.9258,18.4232,clear sky,57.27,94,0,4.61,ZA
9,Butaritari,3.0707,172.7902,light rain,82.4,79,87,14.81,KI
10,Busselton,-33.65,115.3333,overcast clouds,59.79,77,95,22.64,AU
11,Pevek,69.7008,170.3133,broken clouds,37.38,89,84,6.55,RU
12,Kapaa,22.0752,-159.319,broken clouds,80.58,83,75,13.8,US
13,Comodoro Rivadavia,-45.8667,-67.5,clear sky,44.46,45,0,17.27,AR
14,Port Alfred,-33.5906,26.891,broken clouds,59.68,72,65,6.08,ZA
15,Hobart,-42.8794,147.3294,few clouds,59.25,69,20,5.75,AU
16,Hualmay,-11.0964,-77.6139,scattered clouds,63.59,89,50,6.51,PE
17,Thompson,55.7435,-97.8558,scattered clouds,48.36,46,40,4.61,CA
18,Srednekolymsk,67.45,153.6833,overcast clouds,60.44,30,92,10.78,RU
19,Ulaanbaatar,47.9077,106.8832,broken clouds,77.13,14,75,8.95,MN
20,Zhob,31.3411,69.4481,clear sky,79.81,5,0,17.22,PK
21,Churapcha,62.0025,132.4325,scattered clouds,56.64,36,33,2.1,RU
22,Jamestown,42.097,-79.2353,scattered clouds,50.02,96,40,4.61,US
23,Saskylakh,71.9167,114.0833,overcast clouds,33.53,94,100,9.48,RU
24,Kavieng,-2.5744,150.7967,scattered clouds,85.64,61,45,14.43,PG
25,Inuvik,68.3499,-133.7218,broken clouds,27.36,71,75,12.66,CA
26,Norman Wells,65.282,-126.8329,light intensity shower rain,44.64,70,75,4.61,CA
27,Mlowo,-9.0,32.9833,broken clouds,60.28,67,52,2.3,TZ
28,Charters Towers,-20.1,146.2667,scattered clouds,76.05,55,36,5.73,AU
29,Pacific Grove,36.6177,-121.9166,overcast clouds,57.38,85,100,9.22,US
30,Nikolskoye,59.7035,30.7861,overcast clouds,50.88,47,91,5.5,RU
31,Iguguno,-4.5697,34.6275,broken clouds,67.46,65,51,5.44,TZ
32,Kikwit,-5.041,18.8162,light rain,70.86,95,99,1.36,CD
33,Port Elizabeth,-33.918,25.5701,clear sky,50.29,93,0,3.44,ZA
34,North Battleford,52.7834,-108.2847,clear sky,48.29,40,0,5.75,CA
35,Coahuayana,18.7333,-103.6833,scattered clouds,73.71,86,31,0.47,MX
36,Victoria,22.2855,114.1577,overcast clouds,80.96,88,98,13.0,HK
37,Aripuana,-9.1667,-60.6333,few clouds,69.24,79,22,0.85,BR
38,Yar-Sale,66.8333,70.8333,overcast clouds,42.87,80,88,28.72,RU
39,Aklavik,68.2191,-135.0107,overcast clouds,32.45,74,98,11.34,CA
40,Dikson,73.5069,80.5464,overcast clouds,26.44,79,92,12.59,RU
41,Kuching,1.55,110.3333,scattered clouds,89.82,74,40,5.01,MY
42,Ushuaia,-54.8,-68.3,few clouds,35.26,64,20,5.75,AR
43,Hilo,19.7297,-155.09,light rain,77.29,90,100,8.05,US
44,Byron Bay,-28.65,153.6167,light rain,62.71,81,96,12.77,AU
45,Deputatskiy,69.3,139.9,scattered clouds,34.5,91,37,2.66,RU
46,Necochea,-38.5473,-58.7368,overcast clouds,52.61,58,100,8.3,AR
47,Tuktoyaktuk,69.4541,-133.0374,overcast clouds,17.6,86,100,11.5,CA
48,Praya,14.9215,-23.5087,scattered clouds,70.34,73,40,6.91,CV
49,Vung Tau,10.346,107.0843,overcast clouds,83.1,75,96,21.43,VN
50,Mount Isa,-20.7333,139.5,scattered clouds,80.37,32,40,12.66,AU
51,Ambilobe,-13.2,49.05,overcast clouds,77.97,62,91,4.76,MG
52,Mataura,-46.1927,168.8643,broken clouds,53.47,80,83,9.33,NZ
53,Klaksvik,62.2266,-6.589,broken clouds,45.52,84,72,10.4,FO
54,Marawi,7.9986,124.2928,overcast clouds,78.75,79,95,3.4,PH
55,Punta Arenas,-53.15,-70.9167,broken clouds,32.11,86,75,6.91,CL
56,Vaini,-21.2,-175.2,broken clouds,78.96,94,75,5.75,TO
57,Asau,46.4333,26.4,overcast clouds,52.72,89,96,1.52,RO
58,Yellowknife,62.456,-114.3525,light snow,36.12,64,100,5.75,CA
59,Alyangula,-13.8483,136.4192,overcast clouds,84.0,62,96,15.03,AU
60,Petropavlovsk-Kamchatskiy,53.0452,158.6483,broken clouds,43.39,87,75,6.71,RU
61,Araouane,18.9048,-3.5265,clear sky,81.05,26,0,8.14,ML
62,Sioux Lookout,50.1001,-91.917,few clouds,42.87,61,20,4.61,CA
63,Atuona,-9.8,-139.0333,few clouds,79.21,72,19,19.19,PF
64,Bredasdorp,-34.5322,20.0403,broken clouds,53.2,89,56,4.16,ZA
65,Hambantota,6.1241,81.1185,few clouds,88.14,74,20,14.97,LK
66,Binzhou,37.3667,118.0167,scattered clouds,93.43,19,30,7.34,CN
67,Lindi,-10.0,39.7167,scattered clouds,72.68,87,29,4.65,TZ
68,Alekseyevskaya,50.2896,42.1845,overcast clouds,48.81,94,100,11.7,RU
69,Baiyin,36.5583,104.2081,broken clouds,77.72,25,65,9.35,CN
70,Vila Franca Do Campo,37.7167,-25.4333,moderate rain,67.19,98,100,4.79,PT
71,Ketchikan,55.3422,-131.6461,light rain,48.67,93,100,9.22,US
72,Airai,-8.9266,125.4092,scattered clouds,74.07,49,25,5.12,TL
73,Lebu,-37.6167,-73.65,overcast clouds,48.02,79,100,2.64,CL
74,Puerto Ayora,-0.7393,-90.3518,scattered clouds,71.55,96,49,5.7,EC
75,Nanortalik,60.1432,-45.2371,broken clouds,34.2,91,78,10.78,GL
76,Sexsmith,55.35,-118.786,scattered clouds,56.55,33,40,11.5,CA
77,Urumqi,43.801,87.6005,clear sky,76.15,34,0,8.95,CN
78,Mar Del Plata,-38.0023,-57.5575,clear sky,53.94,83,0,3.44,AR
79,Margate,51.3813,1.3862,light rain,58.3,88,99,1.01,GB
80,Quang Ngai,15.1167,108.8,overcast clouds,90.68,57,98,6.33,VN
81,Leningradskiy,69.3833,178.4167,scattered clouds,37.18,92,42,2.01,RU
82,Dingle,10.9995,122.6711,overcast clouds,89.01,61,97,7.43,PH
83,Qaqortoq,60.7167,-46.0333,broken clouds,33.22,91,80,3.0,GL
84,Soe,-9.8607,124.284,overcast clouds,79.57,52,86,9.69,ID
85,Guerrero Negro,27.9769,-114.0611,clear sky,59.41,80,0,12.73,MX
86,Yenagoa,4.9247,6.2642,overcast clouds,74.43,94,100,1.99,NG
87,Scarborough,54.2797,-0.4044,overcast clouds,54.93,88,98,1.99,GB
88,Hirara,24.8,125.2833,broken clouds,80.87,89,75,18.41,JP
89,Binabalian,16.4202,119.9279,overcast clouds,84.87,75,97,15.7,PH
90,Salalah,17.0151,54.0924,broken clouds,84.29,74,75,1.14,OM
91,Aljezur,37.3191,-8.8033,broken clouds,63.12,79,82,10.22,PT
92,Georgetown,5.4112,100.3354,few clouds,93.13,70,20,5.01,MY
93,Puerto Escondido,15.85,-97.0667,clear sky,81.43,78,0,3.44,MX
94,Vezirkopru,41.1436,35.4547,overcast clouds,55.89,65,100,2.15,TR
95,Menongue,-14.6585,17.691,clear sky,45.7,47,0,4.03,AO
96,Mandalgovi,45.7625,106.2708,few clouds,77.29,10,12,13.24,MN
97,Bairiki,1.3292,172.9752,broken clouds,86.0,79,75,8.05,KI
98,Alofi,-19.0595,-169.9187,scattered clouds,80.49,78,40,6.91,NU
99,Tokur,53.1333,132.9,moderate rain,36.0,99,100,3.31,RU
100,Karla,59.3723,24.9275,clear sky,46.36,71,0,1.14,EE
101,Mouila,-1.8685,11.0559,broken clouds,68.67,96,60,0.78,GA
102,Samarai,-10.6167,150.6667,few clouds,83.23,72,17,9.71,PG
103,Isangel,-19.55,169.2667,scattered clouds,79.23,79,36,9.48,VU
104,Torbay,47.6666,-52.7314,broken clouds,52.57,60,75,17.27,CA
105,Riachao Das Neves,-11.7461,-44.91,overcast clouds,73.47,56,97,2.71,BR
106,Cabo San Lucas,22.8909,-109.9124,broken clouds,74.5,67,76,1.99,MX
107,Bluff,-46.6,168.3333,overcast clouds,53.8,76,99,27.89,NZ
108,Buala,-8.145,159.5921,light rain,84.33,71,38,3.2,SB
109,Colac,-38.3333,143.5833,clear sky,62.17,50,1,1.77,AU
110,Sorland,67.667,12.6934,overcast clouds,44.46,90,88,12.66,NO
111,Barrow,71.2906,-156.7887,overcast clouds,24.82,86,100,10.36,US
112,Cayenne,4.9333,-52.3333,broken clouds,81.09,1,75,1.99,GF
113,Qaanaaq,77.484,-69.3632,overcast clouds,28.63,84,100,8.3,GL
114,Salta,-24.7859,-65.4117,clear sky,46.58,86,0,4.61,AR
115,Constitucion,-35.3333,-72.4167,overcast clouds,50.99,93,100,9.33,CL
116,Yerbogachen,61.2767,108.0108,scattered clouds,66.04,46,34,6.46,RU
117,Kaitangata,-46.2817,169.8464,overcast clouds,51.17,72,100,16.02,NZ
118,The Valley,18.217,-63.0578,overcast clouds,80.46,76,87,15.79,AI
119,North Augusta,33.5018,-81.9651,clear sky,73.71,91,0,5.75,US
120,Cabatuan,10.8794,122.486,overcast clouds,87.98,61,98,9.31,PH
121,Sao Joao Da Barra,-21.6403,-41.0511,few clouds,69.15,74,22,4.7,BR
122,Takoradi,4.8845,-1.7554,overcast clouds,73.44,93,88,7.49,GH
123,Henties Bay,-22.116,14.2845,clear sky,61.88,49,3,4.03,NA
124,New Norfolk,-42.7826,147.0587,clear sky,58.91,60,8,1.07,AU
125,Beringovskiy,63.05,179.3167,overcast clouds,41.94,72,93,9.19,RU
126,Quibor,9.9287,-69.6201,clear sky,70.2,75,1,5.73,VE
127,Albany,42.6001,-73.9662,overcast clouds,59.63,81,97,3.0,US
128,Najran,17.4924,44.1277,scattered clouds,75.85,10,36,1.99,SA
129,Hithadhoo,-0.6,73.0833,overcast clouds,83.5,74,100,10.27,MV
130,Beloha,-25.1667,45.05,clear sky,67.66,64,10,4.61,MG
131,Alugan,12.2188,125.4808,broken clouds,84.61,70,70,11.39,PH
132,Hovd,48.0056,91.6419,few clouds,78.67,13,21,15.55,MN
133,Merauke,-8.4667,140.3333,scattered clouds,84.81,72,34,13.73,ID
134,Bethel,41.3712,-73.414,clear sky,69.89,77,0,0.0,US
135,Mahebourg,-20.4081,57.7,scattered clouds,75.49,78,40,10.36,MU
136,Cap Malheureux,-19.9842,57.6142,clear sky,75.47,74,0,3.0,MU
137,Oranjemund,-28.55,16.4333,scattered clouds,55.98,73,31,6.78,NA
138,Sinazongwe,-17.2614,27.4618,clear sky,56.55,55,0,9.06,ZM
