City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cape Town,-33.9258,18.4232,61.38,86,45,1.99,ZA,2022-05-23 01:12:02
1,Mahebourg,-20.4081,57.7,73.69,78,40,6.91,MU,2022-05-23 01:12:43
2,Hermanus,-34.4187,19.2345,58.8,82,29,7.45,ZA,2022-05-23 01:12:44
3,Awjilah,29.1081,21.2869,68.13,32,0,5.53,LY,2022-05-23 01:12:44
4,Manadhoo,5.7667,73.3833,83.21,77,94,14.97,MV,2022-05-23 01:12:44
5,Normandin,48.8333,-72.5321,40.39,87,100,11.21,CA,2022-05-23 01:12:45
6,Clyde River,70.4692,-68.5914,19.63,86,100,18.41,CA,2022-05-23 01:12:45
7,Castro,-24.7911,-50.0119,48.04,82,92,2.35,BR,2022-05-23 01:12:46
8,Mataura,-46.1927,168.8643,49.26,73,78,9.28,NZ,2022-05-23 01:12:46
9,Deputatskiy,69.3,139.9,32.59,96,8,1.83,RU,2022-05-23 01:12:47
10,Arlit,18.7369,7.3853,85.28,26,100,8.93,NE,2022-05-23 01:12:47
11,Vaini,-21.2,-175.2,84.36,79,40,6.91,TO,2022-05-23 01:12:47
12,Albany,42.6001,-73.9662,66.67,84,99,11.05,US,2022-05-23 01:07:59
13,Rikitea,-23.1203,-134.9692,75.97,76,44,16.46,PF,2022-05-23 01:12:48
14,Paamiut,61.994,-49.6678,32.76,98,100,20.74,GL,2022-05-23 01:12:49
15,Aklavik,68.2191,-135.0107,36.48,56,98,10.07,CA,2022-05-23 01:12:49
16,Port Alfred,-33.5906,26.891,59.88,78,78,5.5,ZA,2022-05-23 01:12:50
17,Bluff,-46.6,168.3333,52.16,75,97,30.56,NZ,2022-05-23 01:12:50
18,Punta Arenas,-53.15,-70.9167,30.31,93,40,6.91,CL,2022-05-23 01:12:51
19,Busselton,-33.65,115.3333,61.92,71,83,20.47,AU,2022-05-23 01:12:51
20,Jamestown,42.097,-79.2353,52.52,92,75,4.61,US,2022-05-23 01:12:18
21,Alofi,-19.0595,-169.9187,79.93,72,5,10.65,NU,2022-05-23 01:11:03
